label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
50,-5.560374932177076,-3.4800639969808813,-2.3220401201231753,-1.5350635854598618,-3.209079087458117,-1.5024203240498546,-1.9491158869138934,-2.512849906926639
51,-5.094970393476301,-3.514120844481834,-6.508135787758811,-5.007178623329623,-3.8103932167026056,-4.815825078668523,-2.877831085926275,-3.5473940308840044
52,-5.947173775566949,-4.139916603763898,-7.506812850634257,-5.436428213450644,-4.8322616911596725,-3.3807847463422354,-2.246197601738903,-2.63585543235143
53,-0.3333105796054677,-0.18841341748011553,-0.26360535632648924,-0.19860019115050745,-0.1756816302371469,-0.2676547233905223,-0.14478417779483227,-0.2650588096838373
54,-0.9278749455966668,-0.7148713069102748,-1.0003155830642072,-0.8075723348500718,-0.6988455630800766,-0.7769348388806719,-0.5362481378610795,-0.6120051379271855
55,-5.303350450025527,-3.554482797157415,-3.5122454325386485,-2.017294499330524,-3.245848312987961,-3.9536907021215995,-2.482145761781328,-3.2464787714399095
56,-5.991155919725642,-4.0318342005164505,-4.721911257309528,-2.9149972669339363,-3.3958117666365553,-5.037271354773498,-2.596072541263682,-4.92889522621946
57,-5.910158031256369,-3.4416500000640116,-2.5103996801873447,-1.7334459728614369,-3.3057109119658863,-2.577276848011621,-2.520729320352328,-2.6802757284167105
58,-5.6272525977817365,-4.0775130911508795,-1.3190492693826297,-0.2610644740573199,-1.1098836422983156,-0.75583517632792,-1.7308426820630225,-3.731002826061315
59,-5.12459690739202,-3.694294235969897,-1.150341139656269,-1.0965936874913176,-1.9717274668567655,-0.5789049701183606,-2.3327387740187007,-3.520734727764513
60,-3.5997823080325353,-2.362267660284911,-1.293058334060677,-0.662536654070068,-1.8422720626585132,-1.5786478952161256,-2.02963631094157,-2.9494578327255065
61,-2.611680878494147,-0.9991161128430804,-1.0743520475634492,-0.4407084830957543,-1.0195292339922062,-1.160937100534397,-0.460182337053926,-1.4866609040033976
62,-5.234727850999678,-3.5553370994159463,-1.1078992050199654,-1.585995544896959,-2.867753234579268,-1.9419923543302693,-1.9388758204916998,-3.150182822306393
63,-3.306685597715623,-2.341985216879944,-0.5324196897870372,-0.13329946571920606,-1.2012327673026202,-0.8417959414029229,-1.0984736523070446,-2.224161401377719
64,-3.6562189586873797,-3.1055743402618403,-0.8657102101843205,-0.15690148237332951,-1.5147491905983836,-0.5276899877824317,-2.547871578760531,-3.007048927766496
65,-4.624438789407758,-3.5806404042688516,-0.9269233042121839,-1.094496491027639,-2.1380433810955606,-1.4476654547276855,-1.8886345860568232,-2.375898960522749
66,-0.7918462190303658,-1.630773752097241,-0.1079486529834362,0.2331848106399588,-0.35972634291432437,-0.2630700122978625,-0.13303664937819526,-1.6063306364287384
67,-2.385276537488009,-1.25280675789696,-0.8302307739792049,-0.25252353163234925,-1.2118144786454979,-0.45983482626391314,-0.8524747412772565,-1.0455036317052302
68,-4.467230087923189,-3.562151426154967,-1.0631698157515297,-0.6445900354731255,-1.6702545317900164,-1.0743795856244782,-1.4008961981089363,-2.503221487545165
69,-1.5591361373851924,-1.3290744840862416,-0.14830583008696388,-0.13547861964322186,-0.721030363619831,-0.30829435057042076,-0.21062515865700918,-0.9150983559343631
70,-3.9925314681800654,-3.0548832012186646,-0.7083704436563466,0.021992049750132716,-0.9751789182119001,0.30659822691797844,-1.5760970306545312,-2.022582370130116
71,-5.852635111657276,-3.859758833315632,-2.1555083234013424,-1.7498039329594444,-2.1269173034382454,-0.5199072310391791,-1.8626492386877538,-1.7324890096851775
72,-5.246790142050719,-4.37262335387378,-0.6242259684590211,-1.0042437897566716,-2.015777801819399,-1.2176647074422962,-0.6536692055666169,-2.0918709834911535
73,-1.8868268883647588,-2.1299788370494928,-0.306257440075244,-0.20149119367007642,-0.5230891235128866,-0.16589969122424092,0.03365134915632921,-1.2565122855437871
74,-4.847516845239653,-2.465117490872232,0.1552661231883079,-0.2668408132779611,-0.2570662887155852,0.5248405424270721,-0.6616419021052202,-1.2600139831666555
75,-5.4803241969436565,-4.276951370070356,-1.8340209863414187,-1.714430562143714,-2.7595820950137244,-1.893376496401547,-2.203041764380787,-2.826460941916349
76,-4.731780210046394,-4.201213915375076,-0.5535493297279284,-1.6099561254826404,-1.158163578854562,-0.5020739969254101,-1.2368073575149694,-1.681176105781846
77,-5.338739176089453,-3.367786252059585,-1.1652046020235909,-0.9500310219381357,-1.6853489558934784,-0.621553876857309,-0.8203535352568434,-2.1117850930595674
78,-3.297399141392335,-3.1302775370115183,-0.7345131664498376,-0.4649329000780762,-0.8967540325523764,-0.04922950964580097,0.12373702843760057,-1.8267082571461326
79,-7.052576399523516,-5.584410559975334,-1.9715207872964802,-1.8844945396628314,-2.4536851404232087,-1.4066835281101158,-1.3328687175242822,-2.402364545750104
80,-4.778509309886066,-4.070401569431617,-1.078027961197424,-2.075588455656233,-1.785853385603176,-0.9480508185608348,-2.802452591513476,-2.3501911878547337
81,-3.3680666271723516,-2.3983087996753203,0.22414736915368716,-0.42876449662885147,-0.739951330453867,0.644157296112448,0.20840582368048013,-0.9519159642131217
82,-5.870121192456518,-3.9629824588105427,-0.4061694087140396,-0.7899309326324414,-1.2700878231351278,0.34371661585050645,-0.18127323833060244,-1.4884964406687384
83,-3.571482343436043,-3.320583277866604,-0.1317791403486791,-0.6013560411989808,-1.159273848067398,0.5376588745285232,-0.4602700131675745,-1.3530075575761238
84,-3.913126164516664,-2.800630613742727,-0.3569140967239865,-1.2188115224755551,-1.0490617134479985,-0.5147181875981686,-2.024892829617372,-1.985397333188563
85,-3.8263049751190343,-2.634652895223779,-0.31522850615011455,-0.8449410718434164,-1.2704714713050043,-0.09094075316919846,-2.0403929328736194,-2.534359682536971
